Date,Snow Water Equivalent [mm],Accumulated Precipitation [mm],Precipitation Increment [mm],Tmax (degC),Tmin (degC),Tmean (degC),Year,DOY,Snow on Ground
1999-10-28,0.000,2.540,12.700,6.722,0.278,3.278,1999,301,0
1999-10-29,0.000,15.240,2.540,4.500,-3.111,0.611,1999,302,0
1999-10-30,0.000,17.780,0.000,10.111,0.222,6.778,1999,303,0
1999-10-31,0.000,17.780,0.000,8.722,0.111,4.778,1999,304,0
1999-11-01,0.000,17.780,0.000,5.000,-0.111,2.611,1999,305,0
1999-11-02,0.000,17.780,0.000,11.278,2.111,7.000,1999,306,0
1999-11-03,0.000,17.780,0.000,11.278,4.500,8.000,1999,307,0
1999-11-04,0.000,17.780,2.540,9.500,4.722,6.389,1999,308,0
1999-11-05,0.000,20.320,0.000,10.278,5.722,8.222,1999,309,0
1999-11-06,0.000,20.320,0.000,15.222,8.000,12.222,1999,310,0
1999-11-07,0.000,20.320,0.000,13.889,10.611,12.111,1999,311,0
1999-11-08,0.000,20.320,2.540,11.222,-0.222,5.500,1999,312,0
1999-11-09,0.000,22.860,0.000,7.000,-0.111,4.611,1999,313,0
1999-11-10,0.000,22.860,0.000,8.278,4.611,6.389,1999,314,0
1999-11-11,0.000,22.860,0.000,11.222,5.778,9.111,1999,315,0
1999-11-12,0.000,22.860,0.000,15.111,6.278,10.500,1999,316,0
1999-11-13,0.000,22.860,0.000,15.611,3.889,8.889,1999,317,0
1999-11-14,0.000,22.860,0.000,14.778,9.111,11.722,1999,318,0
1999-11-15,0.000,22.860,0.000,12.611,2.500,8.222,1999,319,0
1999-11-16,0.000,22.860,0.000,11.278,4.500,8.889,1999,320,0
1999-11-17,0.000,22.860,12.700,9.778,-2.389,0.278,1999,321,0
1999-11-18,12.700,35.560,2.540,1.722,-6.222,-1.611,1999,322,1
1999-11-19,15.240,38.100,5.080,5.389,0.889,2.778,1999,323,1
1999-11-20,20.320,43.180,0.000,1.278,-6.111,-1.278,1999,324,1
1999-11-21,20.320,43.180,7.620,-3.222,-5.722,-4.389,1999,325,1
1999-11-22,27.940,50.800,0.000,-1.111,-9.389,-6.500,1999,326,1
1999-11-23,27.940,50.800,0.000,-1.611,-7.500,-4.222,1999,327,1
1999-11-24,27.940,50.800,17.780,1.222,-4.611,-1.389,1999,328,1
1999-11-25,45.720,68.580,25.400,4.722,1.278,3.389,1999,329,1
1999-11-26,45.720,93.980,10.160,4.389,-0.500,2.389,1999,330,1
1999-11-27,30.480,104.140,2.540,3.222,-0.500,1.111,1999,331,1
1999-11-28,30.480,106.680,0.000,6.778,0.778,4.722,1999,332,1
1999-11-29,30.480,106.680,0.000,9.222,6.278,7.722,1999,333,1
1999-11-30,30.480,106.680,0.000,8.778,0.222,4.722,1999,334,1
1999-12-01,30.480,106.680,5.080,0.111,-6.222,-3.222,1999,335,1
1999-12-02,35.560,111.760,15.240,-1.222,-6.500,-3.611,1999,336,1
1999-12-03,53.340,127.000,0.000,-3.111,-9.278,-6.278,1999,337,1
1999-12-04,53.340,127.000,0.000,-2.222,-9.722,-4.722,1999,338,1
1999-12-05,53.340,127.000,0.000,2.278,-2.889,-1.222,1999,339,1
1999-12-06,53.340,127.000,10.160,1.389,-3.778,-1.278,1999,340,1
1999-12-07,68.580,137.160,5.080,-1.611,-7.222,-3.889,1999,341,1
1999-12-08,73.660,142.240,0.000,-3.111,-10.389,-6.111,1999,342,1
1999-12-09,73.660,142.240,12.700,-2.722,-5.722,-3.889,1999,343,1
1999-12-10,88.900,154.940,0.000,-3.389,-6.389,-4.778,1999,344,1
1999-12-11,88.900,154.940,7.620,0.222,-6.722,-2.722,1999,345,1
1999-12-12,99.060,162.560,10.160,1.722,-0.500,0.278,1999,346,1
1999-12-13,111.760,172.720,12.700,0.389,-9.611,-5.778,1999,347,1
1999-12-14,129.540,185.420,2.540,-3.722,-8.722,-6.000,1999,348,1
1999-12-15,134.620,187.960,7.620,0.889,-4.278,-1.500,1999,349,1
1999-12-16,147.320,195.580,12.700,1.500,-0.500,0.611,1999,350,1
1999-12-17,162.560,208.280,0.000,3.278,-3.111,0.500,1999,351,1
1999-12-18,162.560,208.280,2.540,1.278,-3.722,-1.389,1999,352,1
1999-12-19,167.640,210.820,0.000,-1.500,-4.889,-3.222,1999,353,1
1999-12-20,167.640,210.820,0.000,1.222,-2.889,-0.889,1999,354,1
1999-12-21,167.640,210.820,0.000,2.111,-3.778,-0.278,1999,355,1
1999-12-22,167.640,210.820,2.540,3.889,-3.722,-0.500,1999,356,1
1999-12-23,170.180,213.360,0.000,4.778,-3.278,-0.611,1999,357,1
1999-12-24,170.180,213.360,0.000,6.611,-2.389,0.778,1999,358,1
1999-12-25,170.180,213.360,0.000,10.278,-1.389,4.889,1999,359,1
1999-12-26,170.180,213.360,0.000,8.389,-0.278,2.611,1999,360,1
1999-12-27,170.180,213.360,0.000,9.000,-0.778,2.222,1999,361,1
1999-12-28,170.180,213.360,0.000,7.889,-1.722,2.000,1999,362,1
1999-12-29,170.180,213.360,0.000,4.278,-5.000,-1.778,1999,363,1
1999-12-30,170.180,213.360,0.000,3.889,-5.611,-1.889,1999,364,1
1999-12-31,170.180,213.360,0.000,3.111,-3.278,-0.722,1999,365,1
2000-01-01,172.720,213.360,0.000,-2.111,-7.278,-4.222,2000,1,1
2000-01-02,175.260,213.360,7.620,-5.778,-8.500,-7.278,2000,2,1
2000-01-03,187.960,220.980,5.080,-2.222,-9.111,-5.778,2000,3,1
2000-01-04,195.580,226.060,15.240,-0.611,-4.500,-2.111,2000,4,1
2000-01-05,231.140,241.300,0.000,-3.778,-10.000,-5.722,2000,5,1
2000-01-06,231.140,241.300,0.000,-1.778,-11.000,-6.500,2000,6,1
2000-01-07,231.140,241.300,2.540,-0.278,-4.778,-2.889,2000,7,1
2000-01-08,236.220,243.840,5.080,-1.500,-6.111,-3.111,2000,8,1
2000-01-09,248.920,248.920,5.080,-0.722,-5.222,-3.000,2000,9,1
2000-01-10,327.660,254.000,10.160,1.111,-5.500,-2.722,2000,10,1
2000-01-11,347.980,264.160,20.320,1.222,-5.722,-1.611,2000,11,1
2000-01-12,414.020,284.480,0.000,-5.111,-8.500,-6.722,2000,12,1
2000-01-13,414.020,284.480,2.540,3.611,-5.389,-0.778,2000,13,1
2000-01-14,419.100,287.020,0.000,5.778,0.222,2.889,2000,14,1
2000-01-15,419.100,287.020,10.160,1.778,-0.278,1.111,2000,15,1
2000-01-16,429.260,297.180,0.000,4.611,-4.222,1.278,2000,16,1
2000-01-17,429.260,297.180,0.000,3.500,-6.611,-1.778,2000,17,1
2000-01-18,429.260,297.180,7.620,4.778,-0.722,1.222,2000,18,1
2000-01-19,436.880,304.800,0.000,5.778,-3.111,0.722,2000,19,1
2000-01-20,436.880,304.800,0.000,5.611,-1.278,1.778,2000,20,1
2000-01-21,436.880,304.800,0.000,0.222,-6.500,-2.389,2000,21,1
2000-01-22,436.880,304.800,2.540,-2.500,-6.611,-3.778,2000,22,1
2000-01-23,439.420,307.340,5.080,-0.889,-6.611,-3.111,2000,23,1
2000-01-24,444.500,312.420,7.620,1.889,-1.778,-0.278,2000,24,1
2000-01-25,452.120,320.040,5.080,1.222,-1.722,0.000,2000,25,1
2000-01-26,457.200,325.120,0.000,-0.889,-8.500,-4.000,2000,26,1
2000-01-27,457.200,325.120,0.000,-3.222,-11.722,-7.778,2000,27,1
2000-01-28,457.200,325.120,0.000,-0.778,-11.111,-7.889,2000,28,1
2000-01-29,457.200,325.120,0.000,0.000,-11.222,-7.389,2000,29,1
2000-01-30,457.200,325.120,0.000,-0.722,-8.389,-3.722,2000,30,1
2000-01-31,457.200,325.120,5.080,-0.278,-5.889,-3.611,2000,31,1
2000-02-01,459.740,330.200,2.540,3.222,-3.500,0.000,2000,32,1
2000-02-02,462.280,332.740,0.000,7.778,0.278,2.778,2000,33,1
2000-02-03,462.280,332.740,0.000,7.722,0.722,4.278,2000,34,1
2000-02-04,462.280,332.740,2.540,4.722,-0.778,2.278,2000,35,1
2000-02-05,464.820,335.280,5.080,3.778,0.111,1.611,2000,36,1
2000-02-06,469.900,340.360,0.000,6.778,-0.111,2.278,2000,37,1
2000-02-07,469.900,340.360,0.000,7.500,0.500,4.000,2000,38,1
2000-02-08,469.900,340.360,0.000,8.222,3.500,5.278,2000,39,1
2000-02-09,469.900,340.360,0.000,4.778,-0.778,1.889,2000,40,1
2000-02-10,469.900,340.360,2.540,7.111,-1.222,1.889,2000,41,1
2000-02-11,472.440,342.900,7.620,1.278,-2.500,-0.278,2000,42,1
2000-02-12,485.140,350.520,15.240,0.111,-3.500,-1.278,2000,43,1
2000-02-13,523.240,365.760,12.700,1.611,-7.111,-2.278,2000,44,1
2000-02-14,538.480,378.460,15.240,5.000,-2.222,2.000,2000,45,1
2000-02-15,556.260,393.700,2.540,0.611,-4.611,-2.278,2000,46,1
2000-02-16,558.800,396.240,0.000,4.000,-3.722,-0.722,2000,47,1
2000-02-17,558.800,396.240,0.000,0.722,-7.278,-3.222,2000,48,1
2000-02-18,558.800,396.240,0.000,1.722,-10.722,-5.000,2000,49,1
2000-02-19,558.800,396.240,0.000,2.611,-6.500,-1.500,2000,50,1
2000-02-20,558.800,396.240,0.000,4.111,-0.500,2.278,2000,51,1
2000-02-21,558.800,396.240,0.000,5.889,1.278,3.278,2000,52,1
2000-02-22,558.800,396.240,17.780,3.389,-1.722,0.778,2000,53,1
2000-02-23,579.120,414.020,30.480,2.278,-3.611,-0.611,2000,54,1
2000-02-24,619.760,444.500,5.080,-3.611,-8.000,-5.222,2000,55,1
2000-02-25,624.840,449.580,2.540,2.222,-9.778,-4.611,2000,56,1
2000-02-26,627.380,452.120,17.780,1.000,-3.722,-1.389,2000,57,1
2000-02-27,647.700,469.900,10.160,2.389,-1.278,0.722,2000,58,1
2000-02-28,665.480,480.060,5.080,0.778,-2.778,-1.111,2000,59,1
2000-02-29,670.560,485.140,5.080,0.722,-2.722,-1.111,2000,60,1
2000-03-01,675.640,490.220,2.540,3.278,-5.222,-1.611,2000,61,1
2000-03-02,678.180,492.760,0.000,6.722,-4.278,0.111,2000,62,1
2000-03-03,678.180,492.760,0.000,8.778,-3.722,1.000,2000,63,1
2000-03-04,678.180,492.760,0.000,9.000,0.000,4.722,2000,64,1
2000-03-05,678.180,492.760,7.620,7.889,1.000,4.111,2000,65,1
2000-03-06,685.800,500.380,2.540,4.389,-2.389,0.889,2000,66,1
2000-03-07,688.340,502.920,2.540,0.389,-4.611,-2.389,2000,67,1
2000-03-08,690.880,505.460,0.000,1.500,-4.389,-1.389,2000,68,1
2000-03-09,690.880,505.460,10.160,1.611,-4.500,-2.389,2000,69,1
2000-03-10,703.580,515.620,2.540,4.389,-7.222,-1.389,2000,70,1
2000-03-11,706.120,518.160,2.540,1.778,-4.722,-1.500,2000,71,1
2000-03-12,708.660,520.700,0.000,4.611,-6.778,-1.889,2000,72,1
2000-03-13,708.660,520.700,0.000,7.111,-4.222,1.500,2000,73,1
2000-03-14,706.120,520.700,2.540,2.889,-2.222,1.111,2000,74,1
2000-03-15,708.660,523.240,0.000,3.500,-5.278,-1.722,2000,75,1
2000-03-16,708.660,523.240,7.620,2.278,-4.278,-1.278,2000,76,1
2000-03-17,716.280,530.860,0.000,-0.889,-7.222,-3.722,2000,77,1
2000-03-18,716.280,530.860,7.620,4.611,-6.389,0.111,2000,78,1
2000-03-19,723.900,538.480,10.160,3.000,-6.222,-2.722,2000,79,1
2000-03-20,731.520,548.640,0.000,2.278,-6.778,-2.778,2000,80,1
2000-03-21,731.520,548.640,2.540,6.722,-5.500,0.611,2000,81,1
2000-03-22,728.980,551.180,0.000,9.000,-0.889,4.722,2000,82,1
2000-03-23,723.900,551.180,5.080,5.500,-6.500,-1.722,2000,83,1
2000-03-24,728.980,556.260,2.540,6.611,-6.722,0.000,2000,84,1
2000-03-25,731.520,558.800,0.000,10.611,1.389,5.000,2000,85,1
2000-03-26,726.440,558.800,0.000,10.278,-0.278,4.611,2000,86,1
2000-03-27,718.820,558.800,2.540,12.889,0.000,5.722,2000,87,1
2000-03-28,716.280,561.340,0.000,0.222,-4.111,-1.778,2000,88,1
2000-03-29,716.280,561.340,5.080,0.778,-5.611,-2.722,2000,89,1
2000-03-30,721.360,566.420,0.000,6.611,-5.222,0.278,2000,90,1
2000-03-31,718.820,566.420,0.000,9.722,-0.611,4.111,2000,91,1
2000-04-01,713.740,566.420,0.000,9.000,2.222,5.778,2000,92,1
2000-04-02,706.120,566.420,0.000,9.778,2.278,7.000,2000,93,1
2000-04-03,693.420,566.420,0.000,14.222,0.222,7.278,2000,94,1
2000-04-04,675.640,566.420,2.540,14.278,3.111,9.389,2000,95,1
2000-04-05,657.860,568.960,0.000,6.778,-1.611,3.278,2000,96,1
2000-04-06,650.240,568.960,0.000,5.111,-0.889,2.000,2000,97,1
2000-04-07,647.700,568.960,0.000,9.722,-2.222,3.389,2000,98,1
2000-04-08,645.160,568.960,2.540,13.500,2.222,7.111,2000,99,1
2000-04-09,622.300,571.500,15.240,6.000,1.500,3.222,2000,100,1
2000-04-10,617.220,586.740,0.000,12.222,3.111,7.111,2000,101,1
2000-04-11,604.520,586.740,0.000,15.722,3.722,9.000,2000,102,1
2000-04-12,584.200,586.740,2.540,15.389,6.222,9.889,2000,103,1
2000-04-13,558.800,589.280,17.780,9.222,2.278,5.278,2000,104,1
2000-04-14,546.100,607.060,0.000,7.278,0.222,3.222,2000,105,1
2000-04-15,538.480,607.060,2.540,8.778,-0.278,4.389,2000,106,1
2000-04-16,523.240,609.600,0.000,8.389,2.778,5.222,2000,107,1
2000-04-17,513.080,609.600,0.000,13.611,4.722,8.389,2000,108,1
2000-04-18,495.300,609.600,5.080,11.111,3.889,7.222,2000,109,1
2000-04-19,472.440,614.680,0.000,10.278,4.000,6.722,2000,110,1
2000-04-20,449.580,614.680,7.620,12.222,4.278,7.111,2000,111,1
2000-04-21,431.800,622.300,0.000,13.500,3.222,8.500,2000,112,1
2000-04-22,408.940,622.300,0.000,8.389,0.889,4.889,2000,113,1
2000-04-23,391.160,622.300,0.000,4.111,-1.611,1.278,2000,114,1
2000-04-24,388.620,622.300,0.000,7.389,-3.111,2.222,2000,115,1
2000-04-25,378.460,622.300,2.540,6.778,1.611,4.278,2000,116,1
2000-04-26,370.840,624.840,0.000,11.778,0.778,6.889,2000,117,1
2000-04-27,355.600,624.840,2.540,20.000,7.611,12.722,2000,118,1
2000-04-28,317.500,627.380,0.000,11.111,-1.000,4.000,2000,119,1
2000-04-29,297.180,627.380,0.000,6.222,-2.000,2.222,2000,120,1
2000-04-30,284.480,627.380,0.000,14.222,0.778,8.389,2000,121,1
2000-05-01,251.460,627.380,0.000,18.389,9.222,13.389,2000,122,1
2000-05-02,218.440,627.380,2.540,11.611,4.111,7.778,2000,123,1
2000-05-03,185.420,629.920,0.000,14.722,5.778,10.000,2000,124,1
2000-05-04,149.860,629.920,2.540,9.500,1.889,6.278,2000,125,1
2000-05-05,129.540,632.460,0.000,9.222,2.000,4.722,2000,126,1
2000-05-06,104.140,632.460,2.540,6.278,1.500,3.889,2000,127,1
2000-05-07,96.520,635.000,5.080,7.278,1.222,3.222,2000,128,1
2000-05-08,81.280,640.080,0.000,9.389,1.778,5.111,2000,129,1
2000-05-09,50.800,640.080,5.080,8.000,1.611,5.278,2000,130,1
2000-05-10,35.560,645.160,7.620,3.000,-2.778,-0.111,2000,131,1
2000-05-11,43.180,652.780,7.620,1.278,-3.889,-1.889,2000,132,1
2000-05-12,53.340,660.400,0.000,6.722,-3.889,2.222,2000,133,1
2000-05-13,50.800,660.400,0.000,11.778,2.222,7.500,2000,134,1
2000-05-14,27.940,660.400,0.000,14.222,2.500,8.500,2000,135,1
2000-05-15,0.000,660.400,0.000,15.389,4.222,10.000,2000,136,0
2000-05-16,0.000,660.400,10.160,13.000,4.778,9.111,2000,137,0
2000-05-17,0.000,670.560,0.000,13.000,6.722,9.222,2000,138,0
2000-05-18,0.000,670.560,0.000,13.000,4.889,9.389,2000,139,0
2000-05-19,0.000,670.560,0.000,14.222,5.389,10.222,2000,140,0
2000-05-20,0.000,670.560,0.000,14.722,4.889,11.222,2000,141,0
2000-05-21,0.000,670.560,0.000,19.111,8.889,14.000,2000,142,0
2000-05-22,0.000,670.560,0.000,17.722,10.111,13.778,2000,143,0
2000-05-23,0.000,670.560,0.000,14.778,7.000,11.111,2000,144,0
2000-05-24,0.000,670.560,0.000,16.389,6.611,11.778,2000,145,0
2000-05-25,0.000,670.560,0.000,13.389,7.611,10.278,2000,146,0
2000-05-26,0.000,670.560,0.000,13.611,3.778,8.889,2000,147,0
2000-05-27,0.000,670.560,0.000,16.611,8.389,11.611,2000,148,0
2000-05-28,0.000,670.560,0.000,13.722,5.111,10.000,2000,149,0
2000-05-29,0.000,670.560,0.000,12.111,3.722,8.389,2000,150,0
2000-05-30,0.000,670.560,0.000,12.722,-1.722,6.222,2000,151,0
2000-05-31,0.000,670.560,0.000,7.278,-2.222,2.389,2000,152,0
2000-06-01,0.000,670.560,0.000,15.889,-0.111,8.778,2000,153,0
2000-06-02,0.000,670.560,0.000,20.889,9.000,15.000,2000,154,0
2000-06-03,0.000,670.560,0.000,19.111,8.778,14.278,2000,155,0
2000-06-04,0.000,670.560,0.000,24.111,10.111,18.222,2000,156,0
2000-06-05,0.000,670.560,0.000,21.278,8.889,16.278,2000,157,0
2000-06-06,0.000,670.560,0.000,,,,2000,158,0
2000-06-07,0.000,670.560,0.000,22.389,9.000,17.000,2000,159,0
2000-06-08,0.000,670.560,0.000,11.722,5.000,7.278,2000,160,0
2000-06-09,0.000,670.560,0.000,11.611,3.500,6.500,2000,161,0
2000-06-10,0.000,670.560,0.000,11.889,3.111,6.889,2000,162,0
2000-06-11,0.000,670.560,0.000,11.611,1.889,7.722,2000,163,0
2000-06-12,0.000,670.560,20.320,10.000,6.500,8.000,2000,164,0
2000-06-13,0.000,690.880,0.000,13.889,8.389,11.611,2000,165,0
2000-06-14,0.000,690.880,0.000,19.722,8.889,14.500,2000,166,0
2000-06-15,0.000,690.880,0.000,14.500,5.889,10.778,2000,167,0
2000-06-16,0.000,690.880,0.000,15.722,5.389,9.722,2000,168,0
2000-06-17,0.000,690.880,0.000,18.222,4.222,11.222,2000,169,0
2000-06-18,0.000,690.880,0.000,21.000,6.722,14.389,2000,170,0
2000-06-19,0.000,690.880,0.000,14.278,7.889,10.500,2000,171,0
2000-06-20,0.000,690.880,0.000,16.889,3.000,11.778,2000,172,0
2000-06-21,0.000,690.880,0.000,21.778,8.111,15.500,2000,173,0
2000-06-22,0.000,690.880,0.000,21.111,9.722,15.111,2000,174,0
2000-06-23,0.000,690.880,0.000,20.389,8.500,14.611,2000,175,0
2000-06-24,0.000,690.880,0.000,19.778,6.222,14.000,2000,176,0
2000-06-25,0.000,690.880,0.000,19.778,8.611,13.889,2000,177,0
2000-06-26,0.000,690.880,0.000,20.389,6.722,14.722,2000,178,0
2000-06-27,0.000,690.880,0.000,21.722,7.889,15.222,2000,179,0
2000-06-28,0.000,690.880,0.000,23.000,9.111,17.389,2000,180,0
2000-06-29,0.000,690.880,0.000,23.889,12.611,18.389,2000,181,0
2000-06-30,0.000,690.880,0.000,25.222,11.389,18.722,2000,182,0
2000-07-01,0.000,690.880,0.000,20.778,10.111,15.389,2000,183,0
2000-07-02,0.000,690.880,0.000,19.000,6.500,12.722,2000,184,0
2000-07-03,0.000,690.880,0.000,14.500,5.222,10.722,2000,185,0
2000-07-04,0.000,690.880,0.000,15.222,0.778,8.889,2000,186,0
2000-07-05,0.000,690.880,0.000,16.889,7.000,12.611,2000,187,0
2000-07-06,0.000,690.880,0.000,16.500,3.278,9.889,2000,188,0
2000-07-07,0.000,690.880,0.000,21.000,9.889,15.111,2000,189,0
2000-07-08,0.000,690.880,0.000,22.278,10.111,15.389,2000,190,0
2000-07-09,0.000,690.880,0.000,19.500,6.000,13.278,2000,191,0
2000-07-10,0.000,690.880,0.000,22.111,8.000,15.278,2000,192,0
2000-07-11,0.000,690.880,0.000,26.111,10.000,18.389,2000,193,0
2000-07-12,0.000,690.880,0.000,29.000,14.611,20.889,2000,194,0
2000-07-13,0.000,690.880,0.000,26.889,11.611,18.889,2000,195,0
2000-07-14,0.000,690.880,0.000,25.778,10.778,17.389,2000,196,0
2000-07-15,0.000,690.880,0.000,21.222,10.278,16.000,2000,197,0
2000-07-16,0.000,690.880,0.000,25.278,13.611,19.889,2000,198,0
2000-07-17,0.000,690.880,0.000,21.611,9.111,17.111,2000,199,0
2000-07-18,0.000,690.880,0.000,22.889,9.000,15.111,2000,200,0
2000-07-19,0.000,690.880,0.000,23.889,9.722,16.611,2000,201,0
2000-07-20,0.000,690.880,0.000,25.111,11.722,18.722,2000,202,0
2000-07-21,0.000,690.880,0.000,28.778,11.611,20.278,2000,203,0
2000-07-22,0.000,690.880,0.000,27.389,13.778,22.222,2000,204,0
2000-07-23,0.000,690.880,0.000,23.111,12.222,17.389,2000,205,0
2000-07-24,0.000,690.880,0.000,24.611,10.000,17.722,2000,206,0
2000-07-25,0.000,690.880,0.000,25.722,11.111,18.278,2000,207,0
2000-07-26,0.000,690.880,0.000,24.778,12.000,17.889,2000,208,0
2000-07-27,0.000,690.880,0.000,25.389,10.278,17.722,2000,209,0
2000-07-28,0.000,690.880,0.000,28.278,11.611,20.000,2000,210,0
2000-07-29,0.000,690.880,0.000,29.389,15.500,22.889,2000,211,0
2000-07-30,0.000,690.880,0.000,31.111,17.500,23.889,2000,212,0
2000-07-31,0.000,690.880,0.000,30.722,16.611,22.278,2000,213,0
2000-08-01,0.000,690.880,0.000,27.722,14.611,21.500,2000,214,0
2000-08-02,0.000,690.880,0.000,26.389,14.611,20.889,2000,215,0
2000-08-03,0.000,690.880,0.000,28.611,16.722,21.222,2000,216,0
2000-08-04,0.000,690.880,0.000,24.778,12.278,18.500,2000,217,0
2000-08-05,0.000,690.880,0.000,24.278,10.222,17.722,2000,218,0
2000-08-06,0.000,690.880,0.000,25.722,11.222,17.889,2000,219,0
2000-08-07,0.000,690.880,0.000,25.500,12.222,18.722,2000,220,0
2000-08-08,0.000,690.880,0.000,28.111,12.611,20.778,2000,221,0
2000-08-09,0.000,690.880,0.000,29.278,15.222,21.778,2000,222,0
2000-08-10,0.000,690.880,0.000,25.222,13.111,19.222,2000,223,0
2000-08-11,0.000,690.880,0.000,20.389,6.889,13.778,2000,224,0
2000-08-12,0.000,690.880,0.000,25.389,9.000,17.611,2000,225,0
2000-08-13,0.000,690.880,0.000,22.278,10.111,16.111,2000,226,0
2000-08-14,0.000,690.880,0.000,24.278,8.722,16.000,2000,227,0
2000-08-15,0.000,690.880,0.000,23.222,11.778,17.500,2000,228,0
2000-08-16,0.000,690.880,0.000,24.778,9.611,16.778,2000,229,0
2000-08-17,0.000,690.880,0.000,25.500,10.722,17.889,2000,230,0
2000-08-18,0.000,690.880,0.000,22.000,8.722,15.389,2000,231,0
2000-08-19,0.000,690.880,0.000,18.722,7.278,12.778,2000,232,0
2000-08-20,0.000,690.880,0.000,16.722,6.278,11.222,2000,233,0
2000-08-21,0.000,690.880,2.540,19.611,7.000,12.889,2000,234,0
2000-08-22,0.000,693.420,0.000,24.000,7.778,16.111,2000,235,0
2000-08-23,0.000,693.420,0.000,28.000,14.611,20.111,2000,236,0
2000-08-24,0.000,693.420,0.000,24.222,12.500,17.889,2000,237,0
2000-08-25,0.000,693.420,0.000,24.778,10.889,17.389,2000,238,0
2000-08-26,0.000,693.420,0.000,22.000,10.389,15.778,2000,239,0
2000-08-27,0.000,693.420,0.000,21.111,9.222,15.000,2000,240,0
2000-08-28,0.000,693.420,0.000,19.500,5.222,12.889,2000,241,0
2000-08-29,0.000,693.420,0.000,21.778,8.722,15.389,2000,242,0
2000-08-30,0.000,693.420,0.000,18.500,7.611,13.222,2000,243,0
2000-08-31,0.000,693.420,0.000,18.222,7.222,12.111,2000,244,0
2000-09-01,0.000,693.420,7.620,12.500,5.722,8.611,2000,245,0
2000-09-02,0.000,701.040,22.860,8.611,1.778,4.889,2000,246,0
2000-09-03,0.000,723.900,0.000,11.722,3.611,6.778,2000,247,0
2000-09-04,0.000,723.900,10.160,14.000,4.611,9.222,2000,248,0
2000-09-05,0.000,734.060,5.080,8.222,2.278,5.278,2000,249,0
2000-09-06,0.000,739.140,0.000,11.500,2.500,7.222,2000,250,0
2000-09-07,0.000,739.140,2.540,16.222,5.000,10.000,2000,251,0
2000-09-08,0.000,741.680,0.000,16.778,3.389,11.389,2000,252,0
2000-09-09,0.000,741.680,0.000,11.722,-0.778,5.278,2000,253,0
2000-09-10,0.000,741.680,0.000,14.500,3.500,9.722,2000,254,0
2000-09-11,0.000,741.680,0.000,15.611,6.278,11.000,2000,255,0
2000-09-12,0.000,741.680,0.000,21.889,7.722,14.389,2000,256,0
2000-09-13,0.000,741.680,0.000,23.778,10.389,17.222,2000,257,0
2000-09-14,0.000,741.680,0.000,27.722,16.611,21.278,2000,258,0
2000-09-15,0.000,741.680,0.000,23.111,12.889,18.500,2000,259,0
2000-09-16,0.000,741.680,0.000,22.000,11.611,16.611,2000,260,0
2000-09-17,0.000,741.680,0.000,19.222,11.000,15.500,2000,261,0
2000-09-18,0.000,741.680,0.000,19.111,12.389,15.722,2000,262,0
2000-09-19,0.000,741.680,0.000,16.000,9.611,12.389,2000,263,0
2000-09-20,0.000,741.680,0.000,16.278,4.222,9.611,2000,264,0
2000-09-21,0.000,741.680,0.000,11.111,3.000,7.889,2000,265,0
